Sl_No,Slide_No,District,Location,Latitude,Longitude,Material_Involved,Movement,History
2110,HP/SIR/53F05/2017/8,Sirmur,"Marug, MDR3",30,77.889583,Rock cum debris   Slide,NA,
2111,HP/SOL/53F01/2018/004,Solan,NH22/ RD: 70+750 to 70+950 NH22/ RD: 70+750 to,30.078833,79.794472,Rock cum debris   Slide,NA,
2112,HP/SOL/53F01/2018/003,Solan,NH22/ RD: 71+100 to 71+200 NH22/ RD: 71+100 to,30.083278,79.79875,Rock cum debris   Slide,NA,
2113,HP/SOL/53F01/2018/002,Solan,NH22/ RD: 71+300 to 71+420 NH22/ RD: 71+300 to,30.083639,79.800806,Rock cum debris   Slide,NA,
2114,HP/SOL/53F01/2018/001,Solan,NH22/ RD: 87+480 NH22/ RD: 87+480/3km away,30.083917,79.799694,Rock cum debris   Slide,NA,
2115,HP/SIR/53F07/2017/9,Sirmur,Mehtawala,30.448658,77.379747,Rock cum debris   Slide,NA,
2116,HP/SIR/53F07/2017/10,Sirmur,Mehtawala,30.450071,77.376833,Rock cum debris   Slide,NA,
2117,HP/SIR/53F07/2017/1,Sirmur,Mehtawala,30.450422,77.375728,Rock cum debris   Slide,NA,
2118,HP/SIR/53F07/2017/2,Sirmur,Mehtawala,30.451326,77.375918,Rock cum debris   Slide,NA,
2119,HP/SIR/53F07/2017/3,Sirmur,Mehtawala,30.451887,77.375859,Rock cum debris   Slide,NA,
2120,HP/SIR/53F07/2017/4,Sirmur,Mehtawala,30.452326,77.376697,Rock cum debris   Slide,NA,
2121,HP/SIR/53F07/2017/17,Sirmur,Sout of Haripur,30.452799,77.38828,Rock cum debris   Slide,NA,
2122,HP/SIR/53F07/2017/5,Sirmur,Mehtawala,30.452893,77.378037,Rock cum debris   Slide,NA,
2123,HP/SIR/53F07/2017/6,Sirmur,Mehtawala,30.453874,77.377954,Rock cum debris   Slide,NA,
2124,HP/SIR/53F07/2017/8,Sirmur,Mehtawala,30.454318,77.374081,Rock cum debris   Slide,NA,
2125,HP/SIR/53F07/2017/7,Sirmur,Mehtawala,30.454612,77.374562,Rock cum debris   Slide,NA,
2126,HP/SIR/53F07/2017/16,Sirmur,Singhauli,30.462165,77.292031,Rock              Slide,NA,
2127,HP/SIR/53F07/2017/15,Sirmur,North of Haripur,30.4642,77.391658,Rock cum debris   Slide,NA,
2128,HP/SIR/53F07/2017/13,Sirmur,North of Haripur,30.467475,77.39639,Rock cum debris   Slide,NA,
2129,HP/SIR/53F07/2017/14,Sirmur,North of Haripur,30.47039,77.39739,Rock cum debris   Slide,NA,
2130,HP/SIR/53F07/2017/12,Sirmur,Mahronwala,30.476497,77.405078,Rock cum debris   Slide,NA,
2131,HP/SIR/53F07/2017/11,Sirmur,Mahronwala,30.480822,77.410069,Rock cum debris   Slide,NA,
