Sl_No,Slide_No,District,Location,Latitude,Longitude,Material_Involved,Movement,History,Elevation_m,Slope_deg,Rainfall_2023_mm,Rainfall_Dates_2023
2111,HP/SOL/53F01/2018/004,Solan,NH22/ RD: 70+750 to 70+950 NH22/ RD: 70+750 to,30.078833,79.794472,Rock cum debris   Slide,,,2545.5478515625,37.71139422927834,,
2112,HP/SOL/53F01/2018/003,Solan,NH22/ RD: 71+100 to 71+200 NH22/ RD: 71+100 to,30.083278,79.79875,Rock cum debris   Slide,,,2222.346435546875,41.3546159448575,,
2113,HP/SOL/53F01/2018/002,Solan,NH22/ RD: 71+300 to 71+420 NH22/ RD: 71+300 to,30.083639,79.800806,Rock cum debris   Slide,,,2155.116943359375,31.48158257461355,,
2114,HP/SOL/53F01/2018/001,Solan,NH22/ RD: 87+480 NH22/ RD: 87+480/3km away,30.083917,79.799694,Rock cum debris   Slide,,,2166.6181640625,24.447994676272742,,
2115,HP/SIR/53F07/2017/9,Sirmur,Mehtawala,30.448658,77.379747,Rock cum debris   Slide,,,424.6547546386719,20.231657302830396,,
2116,HP/SIR/53F07/2017/10,Sirmur,Mehtawala,30.450071,77.376833,Rock cum debris   Slide,,,478.4826049804687,16.18543607416507,,
2117,HP/SIR/53F07/2017/1,Sirmur,Mehtawala,30.450422,77.375728,Rock cum debris   Slide,,,490.1652221679687,32.658923223451964,,
2118,HP/SIR/53F07/2017/2,Sirmur,Mehtawala,30.451326,77.375918,Rock cum debris   Slide,,,516.7006225585938,27.554069913598205,,
2119,HP/SIR/53F07/2017/3,Sirmur,Mehtawala,30.451887,77.375859,Rock cum debris   Slide,,,511.713623046875,16.82000309514783,,
2120,HP/SIR/53F07/2017/4,Sirmur,Mehtawala,30.452326,77.376697,Rock cum debris   Slide,,,478.5554504394531,32.77857331600545,,
2121,HP/SIR/53F07/2017/17,Sirmur,Sout of Haripur,30.452799,77.38828,Rock cum debris   Slide,,,392.3156433105469,27.170680372848064,,
2122,HP/SIR/53F07/2017/5,Sirmur,Mehtawala,30.452893,77.378037,Rock cum debris   Slide,,,403.77728271484375,31.128795408532604,,
2123,HP/SIR/53F07/2017/6,Sirmur,Mehtawala,30.453874,77.377954,Rock cum debris   Slide,,,410.4550476074219,30.440619590390263,,
2124,HP/SIR/53F07/2017/8,Sirmur,Mehtawala,30.454318,77.374081,Rock cum debris   Slide,,,458.2545776367187,33.738163060507055,,
2125,HP/SIR/53F07/2017/7,Sirmur,Mehtawala,30.454612,77.374562,Rock cum debris   Slide,,,470.1725463867187,29.60504652169624,,
2126,HP/SIR/53F07/2017/16,Sirmur,Singhauli,30.462165,77.292031,Rock              Slide,,,384.3097534179687,22.477301313281327,,
2127,HP/SIR/53F07/2017/15,Sirmur,North of Haripur,30.4642,77.391658,Rock cum debris   Slide,,,424.162109375,35.868505081007946,,
2128,HP/SIR/53F07/2017/13,Sirmur,North of Haripur,30.467475,77.39639,Rock cum debris   Slide,,,451.94866943359375,28.58594570130549,,
2129,HP/SIR/53F07/2017/14,Sirmur,North of Haripur,30.47039,77.39739,Rock cum debris   Slide,,,472.32867431640625,34.83237442152818,,
2130,HP/SIR/53F07/2017/12,Sirmur,Mahronwala,30.476497,77.405078,Rock cum debris   Slide,,,412.2825927734375,14.109790722189814,,
2131,HP/SIR/53F07/2017/11,Sirmur,Mahronwala,30.480822,77.410069,Rock cum debris   Slide,,,439.6538391113281,15.782094769018558,,
2132,HP/SIR/53F02/2017/30,Sirmur,BanogKaulawala bhood road,30.496999,77.217426,Rock              Slide,,,392.4053955078125,27.21723866481954,,
2133,HP/SIR/53F03/2017/1,Sirmur,,30.507724,77.245914,Rock              Slide,,,439.9603576660156,20.596526906188167,,
2134,HP/SIR/53F03/2017/2,Sirmur,,30.508651,77.2472,Rock              Slide,,,414.2439575195313,25.33819267057084,,
2135,HP/SIR/53F06/2017/54,Sirmur,Khadri,30.513754,77.269974,Rock              Slide,,,445.9231872558594,27.93764555044299,,
2136,HP/SIR/53F06/2017/313,Sirmur,Shambhuwala,30.51528,77.335421,Debris            Slide,,,539.556884765625,25.8034123583355,,
2137,HP/SIR/53F06/2017/387,Sirmur,Dhaduwala,30.517019,77.272756,Rock              Slide,,,442.6854248046875,32.42128903150685,,
2138,HP/SIR/53F06/2017/59,Sirmur,Dewni,30.518703,77.268434,Rock              Slide,,,448.2034606933594,13.238733963966538,,
2139,HP/SIR/53F06/2017/53,Sirmur,Dewni,30.519807,77.254651,Rock              Slide,,,415.9057312011719,13.600085538631534,,
2140,HP/SIR/53F06/2017/383,Sirmur,Dhaduwala,30.520144,77.277889,Rock              Slide,,,426.641845703125,29.392598071091317,,
2141,HP/SIR/53F06/2017/52,Sirmur,Dewni,30.520263,77.255465,Rock              Slide,,,439.3795166015625,13.628116714120644,,
2142,HP/SIR/53F06/2017/384,Sirmur,Dhaduwala,30.520283,77.277424,Rock              Slide,,,440.67437744140625,40.21075280131714,,
2143,HP/SIR/53F06/2017/58,Sirmur,Dewni,30.521782,77.25463,Rock              Slide,,,462.0797119140625,13.41040180548073,,
2144,HP/SIR/53F06/2017/55,Sirmur,Ambwala R.F.,30.521896,77.268907,Rock              Slide,,,472.5315856933594,22.06190526935444,,
2145,HP/SIR/53F06/2017/56,Sirmur,Ambwala R.F.,30.523011,77.268443,Rock              Slide,,,503.3565979003906,23.3324622466356,,
2146,HP/SIR/53F06/2017/44,Sirmur,Bikram Bag R.F.,30.52327,77.300171,Rock              Slide,,,662.0927734375,39.05435497378189,,
2147,HP/SIR/53F06/2017/45,Sirmur,Bikram Bag R.F.,30.523434,77.301593,Rock              Slide,,,609.7504272460938,39.76760779816845,,
2148,HP/SIR/53F06/2017/48,Sirmur,Bikram Bag R.F.,30.52388,77.290155,Rock              Slide,,,535.1055297851562,30.619662638829844,,
2149,HP/SIR/53F06/2017/46,Sirmur,Bikram Bag R.F.,30.523963,77.304515,Rock              Slide,,,599.5095825195312,37.25375385922585,,
2150,HP/SIR/53F06/2017/47,Sirmur,Bikram Bag R.F.,30.523967,77.289347,Rock              Slide,,,527.2380981445312,35.11847731510124,,
2151,HP/SIR/53F06/2017/50,Sirmur,Bikram Bag R.F.,30.524006,77.292159,Rock              Slide,,,531.4547729492188,32.81361743268728,,
2152,HP/SIR/53F06/2017/51,Sirmur,Bikram Bag R.F.,30.524217,77.294645,Rock              Slide,,,579.6444091796875,28.85487463116785,,
2153,HP/SIR/53F06/2017/57,Sirmur,Ambwala R.F.,30.524302,77.268451,Rock              Slide,,,527.5061645507812,22.97238238232456,,
2154,HP/SIR/53F06/2017/385,Sirmur,Dhaduwala,30.524525,77.277616,Rock              Slide,,,430.061767578125,36.329529405242134,,
2155,HP/SIR/53F06/2017/381,Sirmur,Dhaduwala,30.524573,77.273435,Rock              Slide,,,561.5286865234375,48.18515433510035,,
2156,HP/SIR/53F06/2017/32,Sirmur,Ganyoni R.F.,30.52474,77.459892,Rock              Slide,,,547.2333984375,32.55955084018959,,
2157,HP/SIR/53F06/2017/49,Sirmur,Bikram Bag R.F.,30.524945,77.291472,Rock              Slide,,,591.1377563476562,42.02596781692046,,
2158,HP/SIR/53F14/2017/48,Sirmur,Shalahat R.F.,30.52507,77.819787,Rock cum debris   Slide,,,517.72607421875,52.89098603315308,,
2159,HP/SIR/53F06/2017/27,Sirmur,Ganyoni R.F.,30.525249,77.472139,Rock              Slide,,,551.9751586914062,46.32131975285108,,
2160,HP/SIR/53F06/2017/22,Sirmur,Ganyoni R.F.,30.525553,77.471235,Rock              Slide,,,538.9425659179688,42.79388375169315,,
2161,HP/SIR/53F06/2017/25,Sirmur,Ganyoni R.F.,30.525657,77.475024,Rock              Slide,,,531.8667602539062,33.41817484613421,,
2162,HP/SIR/53F06/2017/24,Sirmur,Ganyoni R.F.,30.525711,77.475945,Rock              Slide,,,539.5211181640625,35.86443939697445,,
2163,HP/SIR/53F06/2017/64,Sirmur,Shambhuwala,30.525731,77.330641,Debris            Slide,,,539.7702026367188,27.099870434543707,,
2164,HP/SIR/53F06/2017/23,Sirmur,Ganyoni R.F.,30.525856,77.470907,Rock              Slide,,,553.7349243164062,43.95703585138618,,
2165,HP/SIR/53F06/2017/382,Sirmur,Dhaduwala,30.525924,77.27429,Rock              Slide,,,620.4296264648438,39.24738741789358,,
2166,HP/SIR/53F06/2017/31,Sirmur,Ganyoni R.F.,30.525936,77.466596,Rock              Slide,,,507.24853515625,44.58647475100428,,
2167,HP/SIR/53F14/2017/49,Sirmur,Shalahat R.F.,30.525985,77.820675,Rock cum debris   Slide,,,535.2203979492188,38.68886137368605,,
2168,HP/SIR/53F02/2017/58,Sirmur,Bank of Mazar ki Nadi,30.526014,77.250998,Rock              Slide,,,435.2438354492187,33.050711852668776,,
2169,HP/SIR/53F06/2017/26,Sirmur,Ganyoni R.F.,30.526138,77.470413,Rock              Slide,,,563.3638305664062,41.34060587954276,,
2170,HP/SIR/53F02/2017/4,Sirmur,,30.526333,77.247598,Rock              Fall,,,419.2856140136719,14.691422911335772,,
2171,HP/SIR/53F06/2017/33,Sirmur,Ganyoni R.F.,30.526578,77.465766,Rock              Slide,,,544.2657470703125,26.342576616969804,,
2172,HP/SIR/53F06/2017/386,Sirmur,Dhaduwala,30.527018,77.275068,Rock              Slide,,,604.2017211914062,43.537527970656576,,
2173,HP/SIR/53F06/2017/28,Sirmur,Ganyoni R.F.,30.527746,77.466557,Rock              Slide,,,571.8165283203125,31.26564302052172,,
2174,HP/SIR/53F06/2017/63,Sirmur,South of Bhur,30.529595,77.318603,Debris            Slide,,,523.0491333007812,17.829118177200368,,
2175,HP/SIR/53F06/2017/29,Sirmur,Ganyoni R.F.,30.529605,77.468104,Rock              Slide,,,564.148193359375,36.85489028504154,,
2176,HP/SIR/53F06/2017/30,Sirmur,Ganyoni R.F.,30.529805,77.46843,Rock              Slide,,,555.501953125,39.76588703983012,,
2177,HP/SIR/53F06/2017/62,Sirmur,South of Bhur,30.530091,77.316047,Debris            Slide,,,488.2738952636719,28.88304689621516,,
2178,HP/SIR/53F06/2017/61,Sirmur,South of Bhur,30.530364,77.312742,Debris            Slide,,,482.8963928222656,30.86412701800416,,
2179,HP/SIR/53F06/2017/60,Sirmur,South of Bhur,30.530389,77.31207,Debris            Slide,,,473.0861511230469,21.153307713197517,,
2180,HP/SIR/53F02/2017/54,Sirmur,BurmaParaliNahan road,30.530716,77.249241,Rock              Slide,,,485.1097717285156,18.9088161714576,,
2181,HP/SIR/53F06/2017/312,Sirmur,North of Dhaduwala,30.530868,77.283911,Rock              Slide,,,459.7055969238281,23.660750672511647,,
2182,HP/SIR/53F06/2017/43,Sirmur,North of Dhaduwala,30.531423,77.282423,Rock              Slide,,,447.6582946777344,41.64611221431096,,
2183,HP/SIR/53F06/2017/42,Sirmur,North of Dhaduwala,30.53173,77.282261,Rock              Slide,,,480.2524719238281,46.275482287402575,,
2184,HP/SIR/53F02/2017/53,Sirmur,BurmaParaliNahan road,30.532029,77.249097,Rock              Slide,,,476.02581787109375,32.85638004441622,,
2185,HP/SIR/53F02/2017/51,Sirmur,BurmaParaliNahan road,30.532029,77.249097,Rock              Slide,,,476.02581787109375,32.85638004441622,,
2186,HP/SIR/53F02/2017/52,Sirmur,BurmaParaliNahan road,30.532029,77.249097,Rock              Slide,,,476.02581787109375,32.85638004441622,,
2187,HP/SIR/53F02/2017/56,Sirmur,BurmaParaliNahan road,30.532209,77.250743,Rock              Slide,,,435.05804443359375,28.98486337189597,,
2188,HP/SIR/53F02/2017/57,Sirmur,Bank of Mazar ki Nadi,30.532209,77.250743,Rock              Slide,,,435.05804443359375,28.98486337189597,,
2189,HP/SIR/53F06/2017/40,Sirmur,North of Dhaduwala,30.532212,77.282849,Rock              Slide,,,472.1253662109375,43.39944455468776,,
2190,HP/SIR/53F06/2017/41,Sirmur,North of Dhaduwala,30.53231,77.283089,Rock              Slide,,,462.6889343261719,47.829857735958136,,
2191,HP/SIR/53F02/2017/55,Sirmur,BurmaParaliNahan road,30.533669,77.249402,Rock              Slide,,,460.18304443359375,14.398759643942306,,
2192,HP/SIR/53F02/2017/75,Sirmur,Along NH72,30.535608,77.160475,Rock              Slide,,,393.4822998046875,15.936945479226834,,
2193,HP/SIR/53F02/2017/59,Sirmur,Bank of Mazar ki Nadi,30.536239,77.200908,Rock              Slide,,,383.4134826660156,34.211528711394266,,
2194,HP/SIR/53F02/2017/49,Sirmur,BurmaParaliNahan road,30.536602,77.158932,Rock              Slide,,,385.1654357910156,9.343337433517586,,
2195,HP/SIR/53F02/2017/77,Sirmur,KalaambTrilokpur link road,30.540591,77.175556,Rock              Slide,,,414.7923583984375,21.612316644186997,,
2196,HP/SIR/53F10/2017/134,Sirmur,Rajpur,30.541102,77.713399,Rock              Slide,,,784.5428466796875,37.40396801062798,,
2197,HP/SIR/53F02/2017/76,Sirmur,Along NH72,30.541533,77.17585,Rock              Slide,,,418.75921630859375,20.97162058009247,,
2198,HP/SIR/53F10/2017/220,Sirmur,South of Kulthiana,30.541602,77.703918,Rock              Slide,,,815.6209716796875,38.76373180738232,,
2199,HP/SIR/53F14/2017/51,Sirmur,Tauru,30.541918,77.781609,Rock              Slide,,,1114.376220703125,36.4201449823403,,
2200,HP/SIR/53F10/2017/128,Sirmur,Danda,30.541918,77.781609,Rock cum debris   Slide,,,1114.376220703125,36.4201449823403,,
2201,HP/SIR/53F10/2017/133,Sirmur,Rajpur,30.543739,77.714591,Rock              Slide,,,868.2249755859375,42.55942806015561,,
2202,HP/SIR/53F10/2017/219,Sirmur,South of Kulthiana,30.544142,77.702687,Rock              Slide,,,893.4646606445312,41.87328066744419,,
2203,HP/SIR/53F10/2017/132,Sirmur,Rajpur,30.544228,77.720898,Rock              Slide,,,868.9888916015625,43.396953878100256,,
2204,HP/SIR/53F10/2017/129,Sirmur,Rajpur,30.546334,77.721158,Rock              Slide,,,983.9942016601562,43.87767236483242,,
2205,HP/SIR/53F14/2017/4,Sirmur,North of Kalawar,30.546948,77.817488,Rock cum debris   Slide,,,633.5137939453125,44.71457966491743,,
2206,HP/SIR/53F10/2017/130,Sirmur,Rajpur,30.547089,77.721554,Rock              Slide,,,992.09716796875,42.03475812687771,,
2207,HP/SIR/53F10/2017/282,Sirmur,Janjli R.F.,30.547272,77.667155,Rock cum debris   Slide,,,676.085693359375,35.27328173507604,,
2208,HP/SIR/53F10/2017/14,Sirmur,South of Kulthiana,30.547313,77.703282,Rock              Slide,,,970.5548706054688,39.704754508332655,,
2209,HP/SIR/53F10/2017/165,Sirmur,Bhatrog,30.547655,77.669054,Rock cum debris   Slide,,,791.4931640625,43.26394123049483,,
2210,HP/SIR/53F10/2017/279,Sirmur,Bhatrog,30.547817,77.665273,Rock cum debris   Slide,,,599.6204223632812,40.850185951073875,,
2211,HP/SIR/53F10/2017/131,Sirmur,Rajpur,30.547872,77.722184,Rock              Slide,,,974.9657592773438,37.34654159496204,,
2212,HP/SIR/53F10/2017/221,Sirmur,South of Kulthiana,30.547898,77.702253,Rock              Slide,,,1050.936767578125,39.38780081260887,,
2213,HP/SIR/53F10/2017/127,Sirmur,"Sataun, SataunPaonta road",30.548165,77.63888,Rock cum debris   Slide,,,617.2888793945312,36.47006471524987,,
2214,HP/SIR/53F10/2017/223,Sirmur,North of Dhamaun,30.548739,77.685628,Rock              Slide,,,1103.434814453125,41.208323619384515,,
2215,HP/SIR/53F10/2017/224,Sirmur,North of Dhamaun,30.54986,77.686931,Rock              Slide,,,1032.5755615234375,39.54863426676443,,
2216,HP/SIR/53F14/2017/9,Sirmur,North of Kalatha,30.550125,77.79934,Rock              Slide,,,885.906005859375,53.85671923140821,,
2217,HP/SIR/53F10/2017/15,Sirmur,West of Navi,30.550131,77.712553,Rock              Slide,,,899.1318359375,41.894065557064046,,
2218,HP/SIR/53F10/2017/16,Sirmur,West of Navi,30.550541,77.712915,Rock              Slide,,,913.401123046875,42.570808805038936,,
2219,HP/SIR/53F10/2017/218,Sirmur,Sataun,30.550661,77.635263,Rock cum debris   Slide,,,538.7794189453125,29.933369498338813,,
2220,HP/SIR/53F10/2017/217,Sirmur,Sataun,30.550705,77.635916,Rock cum debris   Slide,,,495.8600158691406,34.12425404680661,,
2221,HP/SIR/53F10/2017/206,Sirmur,South of Kandon,30.550789,77.604632,Rock              Slide,,,756.5543212890625,37.57142966595957,,
2222,HP/SIR/53F14/2017/5,Sirmur,North of Kalawar,30.551028,77.819175,Rock              Slide,,,672.4132690429688,40.06769314944401,,
2223,HP/SIR/53F14/2017/6,Sirmur,North of Kalawar,30.551073,77.40092,Rock              Slide,,,630.84912109375,14.77786695263861,,
2224,HP/SIR/53F10/2017/276,Sirmur,Janjli R.F.,30.551307,77.649813,Rock cum debris   Slide,,,589.5175170898438,45.76787284866387,,
2225,HP/SIR/53F10/2017/281,Sirmur,Janjli R.F.,30.551323,77.651374,Rock cum debris   Slide,,,655.1422119140625,46.00072205705348,,
2226,HP/SIR/53F10/2017/280,Sirmur,Janjli R.F.,30.551531,77.654451,Rock cum debris   Slide,,,662.4908447265625,43.61260942627222,,
2227,HP/SIR/53F14/2017/8,Sirmur,North of Kalatha,30.551663,77.798436,Rock              Slide,,,735.5756225585938,47.94819759826751,,
2228,HP/SIR/53F10/2017/222,Sirmur,South of Kulthiana,30.551809,77.704214,Rock              Slide,,,1284.0823974609375,35.93843104935844,,
2229,HP/SIR/53F10/2017/275,Sirmur,Janjli R.F.,30.551811,77.648774,Rock cum debris   Slide,,,601.8665161132812,39.192440119650776,,
2230,HP/SIR/53F10/2017/72,Sirmur,"Sataun, SataunPaonta road",30.552012,77.632201,Rock              Slide,,,552.2208251953125,26.301162444962493,,
2231,HP/SIR/53F10/2017/71,Sirmur,"Sataun, SataunPaonta road",30.55236,77.630377,Rock              Slide,,,564.78076171875,36.620361024120534,,
2232,HP/SIR/53F14/2017/7,Sirmur,North of Kalatha,30.552823,77.805948,Rock              Slide,,,651.8179931640625,30.92835880803718,,
2233,HP/SIR/53F10/2017/70,Sirmur,"Sataun, SataunPaonta road",30.553115,77.629641,Rock              Slide,,,544.2269897460938,31.3503711405781,,
2234,HP/SIR/53F14/2017/3,Sirmur,North of Kalawar,30.553222,77.806676,Rock              Slide,,,628.5646362304688,41.73544482016015,,
2235,HP/SIR/53F10/2017/283,Sirmur,Janjli R.F.,30.553296,77.64633,Rock cum debris   Slide,,,565.5156860351562,39.69712753209,,
2236,HP/SIR/53F10/2017/277,Sirmur,Janjli R.F.,30.553432,77.653686,Rock cum debris   Slide,,,805.9754638671875,34.27559392164038,,
2237,HP/SIR/53F10/2017/278,Sirmur,Janjli R.F.,30.553608,77.654342,Rock cum debris   Slide,,,830.8248901367188,40.54377395959841,,
2238,HP/SIR/53F10/2017/202,Sirmur,West of Sataun,30.553796,77.619786,Rock              Slide,,,576.9260864257812,29.48838306629782,,
2239,HP/SIR/53F10/2017/69,Sirmur,Kandon,30.554175,77.607527,Rock              Slide,,,814.4876708984375,34.191999496205035,,
2240,HP/SIR/53F10/2017/200,Sirmur,West of Sataun,30.554238,77.623577,Rock              Slide,,,543.682373046875,22.18031754414637,,
2241,HP/SIR/53F10/2017/68,Sirmur,Kandon,30.554495,77.609345,Rock              Slide,,,816.9181518554688,32.781770785804866,,
2242,HP/SIR/53F10/2017/64,Sirmur,West of Sataun,30.554573,77.629803,Rock              Slide,,,534.0096435546875,37.311517878770246,,
2243,HP/SIR/53F10/2017/63,Sirmur,West of Sataun,30.554764,77.630116,Rock              Slide,,,557.5863647460938,43.329326947422174,,
