District,Latitude,Longitude,label,slope_deg,rainfall_mm,soil_moisture_mm
Anjaw,28.28128384,96.27316585,0,14.65,41.57762616,0.380630261
Anjaw,28.31107634,96.70446284,0,29.9,42.98489919,0.437042857
Anjaw,28.25272744,96.67811211,0,23.28,38.18053989,0.452780983
Anjaw,28.04968862,96.71708272,0,0.98,44.47427504,0.404148485
Anjaw,28.11879092,96.60871135,0,31.68,44.05086026,0.423081278
Anjaw,28.29268734,96.67438613,0,17.13,45.37104387,0.403300911
Anjaw,28.3779114,96.40482315,0,11.62,40.94628523,0.416650426
Anjaw,28.30921034,96.36504899,0,23.37,41.53054252,0.421779168
Anjaw,28.2590863,96.33405696,0,7.83,43.60790213,0.453955645
Anjaw,27.96872282,96.46943151,0,4.98,40.21779207,0.446551117
Anjaw,28.06135092,96.38136519,0,12.02,39.18061633,0.44682839
Anjaw,27.89225532,96.6263379,0,0.15,41.21677434,0.45503245
Anjaw,28.28562242,96.34090847,0,14.02,41.70468494,0.45243593
Anjaw,28.24712268,96.43223831,0,26.91,45.16883445,0.43129236
Anjaw,28.33831546,96.27899331,0,20.22,42.82026448,0.407862423
Anjaw,28.07629002,96.71653131,0,5.64,40.12285559,0.38768563
Anjaw,28.21833665,96.46248767,0,36.21,38.02830206,0.405762291
Anjaw,27.90123799,96.55199839,0,16.7,39.43610009,0.397796286
Anjaw,28.03416494,96.30734421,0,11.13,41.50813704,0.434786433
Anjaw,28.22406916,96.4383983,0,11.33,37.58499251,0.41107889
Anjaw,27.93744394,96.50993887,0,4.21,38.93311965,0.407652041
Anjaw,28.28524747,96.70565264,0,22.01,41.80218806,0.400538734
Anjaw,28.31927631,96.32723245,0,29.93,38.98133,0.402470605
Anjaw,28.04697804,96.6065138,0,32.71,42.57627965,0.40356346
Anjaw,28.11793848,96.35763168,0,22.54,39.62571816,0.378660519
Anjaw,27.99910021,96.3047536,0,17.27,44.89482438,0.455796506
Anjaw,28.23413992,96.3388053,0,28.16,42.43934693,0.382626673
Anjaw,28.18828765,96.34420138,0,2.52,40.31148278,0.391555999
Anjaw,28.00233587,96.55933539,0,15.08,38.31089858,0.449051796
Anjaw,28.30136388,96.44033379,0,19.4,38.27565168,0.392649423
Anjaw,28.1665958,96.7260593,0,12.26,40.64323355,0.434396147
Anjaw,28.19617852,96.68677509,0,18.89,44.49682074,0.454601361
Anjaw,28.23797434,96.28418747,0,11.28,43.56458439,0.407520692
Anjaw,28.20999838,96.32990178,0,18.34,42.32429918,0.426097473
Anjaw,28.2608963,96.74880284,0,18.99,38.19704248,0.442274449
Anjaw,27.93083089,96.46173549,0,28.6,38.40039752,0.458109222
Anjaw,28.15604562,96.68735698,0,3.91,39.82592192,0.385687774
Anjaw,28.07321276,96.69010904,0,26.21,43.28708984,0.3787565
Anjaw,28.14031145,96.37829728,0,21.08,40.10934904,0.415181271
Anjaw,28.15175891,96.42412055,0,31,41.27117978,0.455700185
Anjaw,27.91850021,96.25677036,0,3.7,39.99033781,0.424997539
Anjaw,28.02829158,96.64104148,0,32.09,41.12614759,0.427461754
Anjaw,28.26894729,96.40539358,0,26,39.98958213,0.397821414
Anjaw,28.13693598,96.66266144,0,24.87,40.24930088,0.4051741
Anjaw,28.27393025,96.66534753,0,2.88,45.24215217,0.39840539
Anjaw,27.95985153,96.52035915,0,25.96,40.25525182,0.455688053
Anjaw,28.22931414,96.68264107,0,12.17,42.74805917,0.453261395
Anjaw,28.1787282,96.59470599,0,21.97,40.14212127,0.441049399
Anjaw,28.09189163,96.37361872,0,18.34,39.3055449,0.453012136
Anjaw,28.32121189,96.42211121,0,17.45,37.83157325,0.394005166
Bongaigaon,26.15449544,90.70591885,0,0.26,22.92437296,0.389817229
Bongaigaon,26.29693647,90.43678592,0,0.05,23.30791492,0.401375797
Bongaigaon,26.42602971,90.39614993,0,0.31,23.39114559,0.403435513
Bongaigaon,26.59984006,90.41762766,0,0.15,21.84390699,0.435964453
Bongaigaon,26.19346301,90.68848947,0,0.21,23.59153515,0.429917724
Bongaigaon,26.60481781,90.49380095,0,0.1,22.51324818,0.401949599
Bongaigaon,26.29371036,90.48672443,0,2.78,22.01246475,0.410186026
Bongaigaon,26.45108543,90.74444052,0,0.05,22.39507614,0.390254656
Bongaigaon,26.61976662,90.44210721,0,0.1,20.83233581,0.428518977
Bongaigaon,26.445852,90.63652268,0,0.93,22.26829268,0.447730835
Bongaigaon,26.24575536,90.74490015,0,0.1,24.39089273,0.427723236
Bongaigaon,26.35676207,90.3722015,0,0.05,22.96132947,0.445414724
Bongaigaon,26.41138361,90.78312362,0,0.31,24.40579255,0.452395217
Bongaigaon,26.38397085,90.75297424,0,0.36,21.10656993,0.372236222
Bongaigaon,26.24851919,90.45077253,0,0.05,22.23067756,0.380498574
Bongaigaon,26.29847413,90.39072672,0,0.15,20.90423866,0.433082586
Bongaigaon,26.46612996,90.35199549,0,0.26,25.13890385,0.380976985
Bongaigaon,26.27451516,90.32680956,0,0.36,23.83181894,0.452098026
Bongaigaon,26.26259446,90.63773026,0,10.73,23.96840034,0.385326646
Bongaigaon,26.26132252,90.7855792,0,0.31,23.48219814,0.410287813
Bongaigaon,26.45750502,90.69191433,0,0,24.81111224,0.432200847
Bongaigaon,26.49301026,90.75137813,0,0.26,22.94943114,0.451482551
Bongaigaon,26.50090719,90.40210783,0,0.15,22.70459078,0.384937832
Bongaigaon,26.27410307,90.36160852,0,0,24.06146267,0.377913304
Bongaigaon,26.56418452,90.3318445,0,0.21,21.32945338,0.391522812
Bongaigaon,26.58642291,90.5817243,0,0.1,22.35212144,0.38621838
Bongaigaon,26.53851036,90.74092488,0,0.26,21.34467458,0.447743349
Bongaigaon,26.486955,90.46387134,0,0.31,21.77037753,0.42913774
Bongaigaon,26.36720036,90.39892446,0,0.26,24.58814172,0.434251977
Bongaigaon,26.57722753,90.4980823,0,0.05,23.1747203,0.406892813
Bongaigaon,26.54690223,90.44673364,0,0.1,20.77407983,0.409832021
Bongaigaon,26.28817161,90.51700005,0,10.88,24.70845187,0.43053717
Bongaigaon,26.14103771,90.6760728,0,0.1,22.60327095,0.411181226
Bongaigaon,26.20400186,90.76004016,0,0.05,23.66234946,0.415251837
Bongaigaon,26.54996764,90.42227517,0,0.1,23.35094498,0.377596458
Bongaigaon,26.62777921,90.6188938,0,0,22.99052951,0.391989623
Bongaigaon,26.53849409,90.65159353,0,0.26,25.16010565,0.433393787
Bongaigaon,26.60095362,90.46382169,0,0.31,23.57373274,0.38087389
Bongaigaon,26.45937721,90.32660634,0,0.05,23.77600422,0.428864758
Bongaigaon,26.30515358,90.66857112,0,0.15,23.59831566,0.43877117
Bongaigaon,26.15584612,90.46576085,0,0.26,23.88923618,0.409199958
Bongaigaon,26.23768877,90.55724332,0,0.41,24.22643924,0.387425993
Bongaigaon,26.32058252,90.56612318,0,0.05,23.3265456,0.446219057
Bongaigaon,26.1602772,90.7773801,0,0.1,25.00002694,0.385382287
Bongaigaon,26.28962067,90.64133298,0,6.31,24.9532911,0.399495327
Bongaigaon,26.2130408,90.4405352,0,0,23.16230453,0.433288569
Bongaigaon,26.15464905,90.63353548,0,0.05,23.43575742,0.422532533
Bongaigaon,26.21705695,90.46746622,0,0.15,21.99661323,0.450357255
Bongaigaon,26.60797483,90.59755615,0,0.05,21.12001955,0.37661438
Bongaigaon,26.63266312,90.69300155,0,0.1,23.65330225,0.418634757
Cachar,24.78774352,92.63534028,0,0.05,15.99515638,0.493388083
Cachar,24.87417664,92.62561894,0,0.36,14.93918405,0.458878027
Cachar,24.67506802,92.59317314,0,0.15,15.79486607,0.519901511
Cachar,24.7446396,92.56266959,0,0.31,16.36262702,0.525002928
Cachar,24.87674544,92.69310681,0,0.05,16.40610955,0.499183264
Cachar,24.7005976,92.95144107,0,0,16.97813555,0.507976234
Cachar,24.66373083,92.89422557,0,0.15,16.73983163,0.518485481
Cachar,24.7581314,92.74220212,0,0.72,14.94867378,0.441984892
Cachar,24.80858963,92.86864163,0,0.1,18.00345076,0.499608217
Cachar,24.70118263,92.83850847,0,0.15,16.64038499,0.506758031
Cachar,25.0017357,92.89715512,0,1.7,17.61986778,0.519100161
Cachar,25.09212578,92.64219443,0,9.79,15.80440283,0.451749823
Cachar,24.7964936,92.7115067,0,0.41,17.81262848,0.511232487
Cachar,24.89765267,92.98891875,0,0.26,15.83055361,0.502636373
Cachar,24.76026506,92.80547571,0,0.21,15.28708877,0.450351616
Cachar,24.86016196,92.67657848,0,0,17.40418216,0.49213939
Cachar,24.80545571,92.82729586,0,0.51,15.31294144,0.469195519
Cachar,24.83538428,92.99578321,0,0.67,16.70542162,0.464421114
Cachar,24.73028643,92.78127146,0,0.36,16.61248695,0.469337488
Cachar,24.7820394,92.90270185,0,0.41,17.97299159,0.475399709
Cachar,24.84032354,92.86787972,0,0.26,16.40799454,0.481516422
Cachar,25.06652685,92.72066784,0,0.87,15.90280392,0.511084827
Cachar,25.07280392,92.55987017,0,11.38,16.54322948,0.489049669
