Sl.No.,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,Material_Involved_Clean,Movement_Type_Clean,has_history_date,event_year,slope_deg,rainfall_mm,soil_moisture_mm,label
15,ASM/HLKD/83D10/2016/60,Assam,Hailakandi,Ramchandi (Koyabasti),Ramchandi area,24.515944,92.540889,Earth,Slide,Earth,Slide,1,2016,0.26,12.18360656,0.411990437,1
14,ASM/HLKD/83D10/2016/59,Assam,Hailakandi,Lalcherra Slide (Rabinala),"Near Patakhouri Durga Mandir
Under Bilaipur Forest Village;
Lala Police Station",24.511306,92.693028,Debris,Slide,Debris,Slide,1,2016,1.65,14.15409836,0.411174863,1
32,ASM/HLK/83D10/2020/003,Assam,Hailakandi,Mohanpur Grant Slide 1,"Mohanpur Grant, Hailakandi
Circle.",24.70364,92.64681,Debris,Slide,Debris,Slide,1,2020,1.03,11.86147541,0.492546107,1
34,ASM/HLK/83D10/2020/004,Assam,Hailakandi,Mohanpur Grant Slide 2,"Mohanpur Grant, Hailakandi
Circle.",24.70656,92.65008,Debris,Slide,Debris,Slide,1,2020,0.93,11.86147541,0.492546107,1
35,AS/KAR/83D06/2009-10/AS-2,Assam,Karimganj,Rongpur slide,Rongpur Village,24.710833,92.481167,Debris,Slide,Debris,Slide,1,2010,0.67,14.93196721,0.484774932,1
36,ASM/CHR/83D14/2020/0002,Assam,Cachar,Govindnagar Slide,"Govindnagar Pt. II, Sonai",24.72192,92.90381,Debris,Slide,Debris,Slide,1,2020,0.67,10.32540984,0.402083675,1
25,AS/CAC/83D10/2009-10/AS-1,Assam,Cachar,Palgana slide,"Paglagaon (near Mursabarti)
under Baghbahar GP part 3",24.57025,92.685,Debris,Slide,Debris,Slide,1,2010,1.18,12.51229508,0.412962773,1
1746,AR/ANJ/91D11/2014/34,Arunachal Pradesh,Anjaw,Chaglogamnala slide,Village road,28.31211,96.61719,Debris,Topple,Debris,Topple,1,2013,0.41,15.3352459,0.414460383,1
1752,AR/ANJ/91D11/2014/33,Arunachal Pradesh,Anjaw,Toflagam slide,H.M.C. Road,28.31658,96.61508,Debris,Slide,Debris,Slide,1,2013,22.67,15.3352459,0.414460383,1
1709,AR/ANJ/91D11/2014/29,Arunachal Pradesh,Anjaw,Chipru slide,HMC road,28.26786,96.55781,Rock,Flow,Rock,Flow,1,2013,27.64,15.3352459,0.414308402,1
1674,AR/ANJ/91D11/2014/32,Arunachal Pradesh,Anjaw,Metumna slide,H.M.C. Road,28.25897,96.54433,Rock,Topple,Rock,Topple,1,2013,29.78,19.67540984,0.414308402,1
1630,AR/ANJ/91D12/2014/39,Arunachal Pradesh,Anjaw,37.6 km rockslide,H. M. C. Road,28.23969,96.52778,Rock,Topple,Rock,Topple,1,2013,30.66,19.67540984,0.417912227,1
1604,AR/ANJ/91D12/2014/14,Arunachal Pradesh,Anjaw,32.4 km Slide,HMC road,28.22328,96.55303,Rock,Slide,Rock,Slide,1,2013,17.73,19.67540984,0.414308402,1
1605,AR/ANJ/91D12/2014/28,Arunachal Pradesh,Anjaw,29.9 km Slide,HMC road,28.22381,96.53644,Rock,Slide,Rock,Slide,1,2013,10.53,19.67540984,0.417912227,1
1607,AR/ANJ/91D12/2014/09,Arunachal Pradesh,Anjaw,33.3 km slide,HMC road,28.22408,96.55872,Rock,Slide,Rock,Slide,1,2013,30.7,19.67540984,0.414308402,1
1591,AR/ANJ/91D12/2014/27,Arunachal Pradesh,Anjaw,Bamlan Slide,HMC road,28.21483,96.53911,Debris,Slide,Debris,Slide,1,2013,15.13,19.67540984,0.417912227,1
1572,AR/ANJ/91D12/2014/04,Arunachal Pradesh,Anjaw,Metenliang 2.5 km slide,HMC road,28.19597,96.53733,Debris,Slide,Debris,Slide,1,2013,7.27,19.67540984,0.414677937,1
1584,AR/ANJ/91D12/2014/42,Arunachal Pradesh,Anjaw,Metengliang slide,H. M. C. Road,28.20867,96.53222,Debris,Slide,Debris,Slide,1,2013,3.29,19.67540984,0.414677937,1
79,AS/CHR/83C12/2020/1,Assam,Cachar,Bhamai slide-1,Karbi houses(Bhamai river side),25.02,92.52,Debris,Slide,Debris,Slide,1,2019,4.62,18.22295082,0.493301913,1
57,AS/CHR/83D09/2020/7,Assam,Cachar,Naraichhora slide-2,Narainchora,24.97,92.72,Debris,Slide,Debris,Slide,1,2017,1.08,33.68196721,0.501383538,1
1523,AR/ANJ/91D11/2014/26,Arunachal Pradesh,Anjaw,9 km Slide,HMC road,28.14531,96.54897,Rock,Slide,Rock,Slide,1,2013,27.48,19.67540984,0.414677937,1
1531,AR/ANJ/92D12/2014/45,Arunachal Pradesh,Anjaw,Chipru slide,HMC road,28.15292,96.53858,Rock,Slide,Rock,Slide,1,2013,11.28,17.96967213,0.414677937,1
1536,AR/ANJ/92D12/2014/44,Arunachal Pradesh,Anjaw,Teapani river slide,H. M. C. Road,28.16206,96.53061,Debris,Topple,Debris,Topple,1,2013,25.84,17.96967213,0.414677937,1
1492,AR/ANJ/91D12/2014/03,Arunachal Pradesh,Anjaw,3.5 km slide,HMC road,28.10714,96.54489,Rock,Fall,Rock,Fall,1,2013,8.13,19.67540984,0.414677937,1
1501,AR/ANJ/91D12/2014/07,Arunachal Pradesh,Anjaw,5.4 km HMC slide,HMC road,28.11781,96.54906,Debris,Flow,Debris,Flow,1,2013,1.75,19.67540984,0.414677937,1
1443,AR/ANJ/91D08/2014/15,Arunachal Pradesh,Anjaw,78 km slide,Tezu-Hayuliang road,28.05939,96.48397,Debris,Slide,Debris,Slide,1,2014,7.78,21.38196721,0.419771516,1
1444,AR/LOH/91D08/2014/01,Arunachal Pradesh,Lohit,88 km Slide,HMC road,28.05989,96.46281,Debris,Slide,Debris,Slide,1,2013,31.08,19.67540984,0.414677937,1
1445,AP/LOH/91D08/2014/01,Arunachal Pradesh,Lohit,88 km Slide,HMC road,28.05989,96.46281,Debris,Slide,Debris,Slide,1,2013,31.08,19.67540984,0.414677937,1
1451,AR/ANJ/91D12/2014/53,Arunachal Pradesh,Anjaw,Khupapolice check gate,Tezu-Hayuliang road,28.06356,96.50075,Debris,Slide,Debris,Slide,1,2012,2.73,26.44672131,0.421227117,1
1454,AR/ANJ/91D12/2014/02,Arunachal Pradesh,Anjaw,Hayuliang Slide,HMC road,28.08014,96.52356,Debris,Topple,Debris,Topple,1,2013,27.24,19.67540984,0.414677937,1
1456,AR/ANJ/91D12/2014/10,Arunachal Pradesh,Anjaw,9 JAK Camp slide,Hayuliang-Wallong road,28.08019,96.54483,Debris,Flow,Debris,Flow,1,2013,21.25,19.67540984,0.414677937,1
1415,AR/LOH/92A05/2014/11,Arunachal Pradesh,Lohit,Arrowa-Tidding Bridge,Tezu-Hayuliang road,27.96756,96.40214,Rock cum Debris,Slide,Debris cum Rock,Slide,1,2013,6.66,12.98114754,0.474393784,1
1401,AR/LOH/92A05/2014/13,Arunachal Pradesh,Lohit,Lalpani slide,Tezu-Hayuliang road,27.94083,96.38161,Rock cum Debris,Subsidence,Debris cum Rock,Subsidence,1,2013,24.23,19.67540984,0.480450137,1
1406,AR/LOH/92A05/2014/12,Arunachal Pradesh,Lohit,52 km slide,Tezu-Hayuliang road,27.94903,96.39158,Rock,Slide and topple,Rock,Topple,1,2013,13.39,17.96967213,0.480450137,1
65,AS/CHR/83D05/2020/2,Assam,Cachar,Tarapur slide,Tarapur,24.99,92.45,Debris,Slide,Debris,Slide,1,2016,0.46,12.9852459,0.480949454,1
71,AS/DIM/83G4/2015/33,Assam,Dima Hasao,Nutan Leikul-6,Nutan Leikul.NH-54,25.008,93.04,Earth,Slide,Earth,Slide,1,2014,9.34,8.962295082,0.40303791,1
1284,ARN/KRA/83E10/2017,Arunachal Pradesh,Kra Daadi,Palin landslide,Palin village,27.690111,93.632556,Debris,Slide,Debris,Slide,1,2017,3.91,16.80819672,0.41796209,1
1266,ARN/TWG/78M14/2016/0026,Arunachal Pradesh,Tawang,SSB Workshop (South),Locality,27.599,91.876528,Debris,Slide,Debris,Slide,1,2016,5.39,12.47786885,0.414468238,1
1267,ARN/TWG/78M14/2016/0027,Arunachal Pradesh,Tawang,SSB Workshop (North),Locality,27.599806,91.876111,Debris,Slide,Debris,Slide,1,2016,4.93,12.47786885,0.417831626,1
1249,ARN/TWG/78M14/2016/0030,Arunachal Pradesh,Tawang,WRD Slide (North),Locality,27.590639,91.876806,Earth,Slide,Earth,Slide,1,2016,1.85,12.47786885,0.417831626,1
1250,ARN/TWG/78M14/2016/0031,Arunachal Pradesh,Tawang,WRD Slide (South),Locality,27.590639,91.876806,Debris,Slide,Debris,Slide,1,2016,1.85,12.47786885,0.417831626,1
1244,ARN/TWG/78M14/2016/0028,Arunachal Pradesh,Tawang,Govt. Girl Hr. Sec. School Slide,Locality,27.589,91.873194,Earth,Slide,Earth,Slide,1,2016,9.84,15.75081967,0.417831626,1
1248,ARN/TWG/78M14/2016/0029,Arunachal Pradesh,Tawang,New Market Sinking zone,Locality,27.590556,91.867667,Debris,Subsidence,Debris,Subsidence,1,2016,10.09,15.75081967,0.417831626,1
1223,ARN/TWNG/78M14/2016/0015,Arunachal Pradesh,Tawang,Khardung slide,2016,27.561083,91.911528,Debris,Slide,Debris,Slide,1,2016,21.48,12.47786885,0.419771175,1
1209,"ARN/Papumpare/83E12/2020/0
1",Arunachal Pradesh,Papum Pare,Donyi Slide,"Near Jollang Road, 2.5 km east
of Itanagar City",27.08130556,93.61283333,Unconsolidated rock debris and sandy soil.,Translation (Debris flow),Debris cum Rock cum Soil,Flow,1,2020,3.55,12.30901639,0.407515027,1
1210,AR/ES/82P/8/2021/01,Arunachal Pradesh,East Siang,Renging,National Highway 229,28.14116,95.27472,Debris/unconsolidat ed material,Debris slide and subsidence,Debris,Subsidence,1,1950,9.03,19.45327869,0.482266052,1
1211,AR/ES/82P/8/2021/02,Arunachal Pradesh,East Siang,Renging,National Highway 229,28.14251,95.27439,Debris/unconsolidat ed material,Debris slide and subsidence,Debris,Subsidence,1,1950,1.6,19.45327869,0.482266052,1
1212,AR/PP/83E/12/2021/01,Arunachal Pradesh,Papum Pare,Chimpu-Hollongi Road,National Highway 415,27.03106,93.62292,Debris/unconsolidat ed material,Debris slide and subsidence,Debris,Subsidence,1,2020,0.98,12.30901639,0.407515027,1
1120,ARN/LS/83E15/2016/02,Arunachal Pradesh,Lower Subansiri,Possa-Potin slide,National Highway 713-A,27.339267,93.802581,Debris,Slide,Debris,Slide,1,2016,3.34,10.62131148,0.472007172,1
80,AS/CHR/83C12/2020/2,Assam,Cachar,Bhamai slide-2,Karbi Houses (Bhamai river side),25.02,92.52,Debris,Slide,Debris,Slide,1,2019,4.62,18.22295082,0.493301913,1
81,AS/CAC/83C4/2016/73,Assam,Cachar,0.21 km N of Malidhar,NH44,25.029708,92.463967,Debris,Slide,Debris,Slide,1,2015,0.21,19.97622951,0.479297814,1
82,AS/CAC/83C4/2016/74,Assam,Cachar,0.39 km N of Malidhar,NH44,25.031431,92.463231,Debris,Slide,Debris,Slide,1,2015,3.85,19.97622951,0.479297814,1
83,AS/CAC/83C4/2016/75,Assam,Cachar,0.48 km N of Malidhar,NH44,25.032119,92.462636,Debris,Slide,Debris,Slide,1,2015,2.78,19.97622951,0.479297814,1
84,AS/CAC/83C4/2016/76,Assam,Cachar,0.58 km NW of Malidhar,NH44,25.032989,92.462214,Debris,Slide,Debris,Slide,1,2015,6.15,19.97622951,0.479297814,1
87,MEG/WJH/83C4/2016/45,Assam,Cachar,2 km E of Rathacherra,NH44 (near to weight bridge),25.037203,92.450339,Debris,Slide,Debris,Slide,1,2015,3.03,19.97622951,0.479297814,1
1103,ARN/LS/83E15/2016/03,Arunachal Pradesh,Lower Subansiri,Possa-Potin slide,National Highway 713-A,27.307072,93.806008,Debris,Slide,Debris,Slide,1,2016,24.83,10.62131148,0.472007172,1
1082,ARN/LS/83E15/2016/05,Arunachal Pradesh,Lower Subansiri,Hoj-Potin slide,National Highway 713-A,27.294886,93.803328,Debris,Slide,Debris,Slide,1,2016,6.76,10.62131148,0.472007172,1
1042,ARN/LS/83E15/2016/07,Arunachal Pradesh,Lower Subansiri,Hoj-Potin slide,National Highway 713-A,27.246131,93.804711,Debris,Slide,Debris,Slide,1,2016,0.1,10.62131148,0.414533128,1
1049,ARN/LS/83E15/2016/06,Arunachal Pradesh,Lower Subansiri,Hoj-Potin slide,National Highway 713-A,27.254756,93.801303,Debris,Slide,Debris,Slide,1,2016,3.55,10.62131148,0.414533128,1
